"Offset","Type","Name","Notes"
"0x0","short","shopRatio","Unused. Multiplier of all prices in the shop"
"0x2","short","item1","ID of the first item in the shop"
"0x4","short","item2","ID of the second item in the shop"
"0x6","short","item3","ID of the third item in the shop"
"0x8","short","item4","ID of the fourth item in the shop"
"0xA","short","item5","ID of the fifth item in the shop"
"0xC","short","item6","ID of the sixth item in the shop"
"0xE","short","item7","ID of the seventh item in the shop"
"0x10","short","item8","ID of the eight item in the shop"
"0x12","short","item9","ID of the ninth item in the shop"
"0x14","short","item10","ID of the tenth item in the shop"
"0x16","short","item11","ID of the eleventh item in the shop"
"0x18","short","item12","ID of the twelfth item in the shop"
"0x1A","short","item13","ID of the thirteenth item in the shop"
"0x1C","short","item14","ID of the fourteenth item in the shop"
"0x1E","short","item15","ID of the fifteenth item in the shop"
"0x20","short","item16","ID of the sixteenth item in the shop"
