"Offset","Type","Name","Notes"
"0x00","byte","a_HP",""
"0x01","byte","b_HP",""
"0x02","byte","a_MP",""
"0x03","byte","b_MP",""
"0x04","byte","a_strength",""
"0x05","byte","b_strength",""
"0x06","byte","a_defense",""
"0x07","byte","b_defense",""
"0x08","byte","a_magic",""
"0x09","byte","b_magic",""
"0x0A","byte","a_magicDefense",""
"0x0B","byte","b_magicDefense",""
"0x0C","byte","a_agility",""
"0x0D","byte","b_agility",""
"0x0E","byte","a_evasion",""
"0x0F","byte","b_evasion",""
"0x10","byte","a_accuracy",""
"0x11","byte","b_accuracy",""
